user_id,event_id
1006,2133209
1040,2133215
1015,2133216
1018,2133221
1035,2133210
1058,2133224
1059,2133227
1025,2133230
1056,2133228
1069,2133233
1020,2133234
1007,2133213
1080,2133238
1082,2133239
1032,2133217
1036,2133220
1012,2133218
1049,2133222
1086,2133214
1045,2133223
1050,2133226
1064,2133245
1047,2133211
1003,2133214
1078,2133212
1083,2133246
1038,2133241
1044,2133225
1090,2133244
1069,2133252
1080,2133253
1067,2133235
1010,2133219
1007,2133254
1074,2133240
1086,2133258
1081,2133247
1018,2133249
1051,2133229
1025,2133259
1066,2133236
1070,2133237
1072,2133257
1084,2133248
1023,2133251
1061,2133232
1067,2133265
1047,2133266
1003,2133223
1073,2133254
1071,2133247
1007,2133268
1083,2133263
1094,2133243
1056,2133250
1069,2133264
1066,2133271
1080,2133273
1035,2133272
1020,2133260
1036,2133274
1050,2133276
1045,2133277
1081,2133222
1003,2133279
1082,2133280
1074,2133282
1056,2133283
1064,2133222
1006,2133284
1066,2133286
1065,2133231
1036,2133289
1050,2133290
1073,2133285
1025,2133287
1080,2133293
1067,2133294
1020,2133295
1010,2133288
1040,2133281
1061,2133298
1082,2133301
1078,2133296
1003,2133297
1012,2133262
1066,2133304
1073,2133305
1035,2133307
1074,2133309
1045,2133302
1023,2133310
1018,2133303
1069,2133292
1084,2133312
1070,2133299
1015,2133313
1007,2133216
1040,2133317
1061,2133241
1025,2133320
1050,2133322
1012,2133324
1020,2133308
1059,2133213
1086,2133323
1065,2133314
1056,2133325
1047,2133328
1073,2133329
1083,2133311
1003,2133277
1044,2133332
1072,2133316
1040,2133331
1050,2133340
1086,2133333
1025,2133335
1023,2133337
1070,2133327
1084,2133343
1045,2133344
1059,2133254
1032,2133341
1010,2133347
1051,2133350
1073,2133216
1035,2133354
1058,2133346
1078,2133345
1056,2133349
1071,2133336
1049,2133352
1059,2133356
1044,2133348
1090,2133360
1040,2133358
1045,2133279
1070,2133359
1086,2133254
1003,2133364
1025,2133367
1083,2133351
1066,2133369
1012,2133368
1050,2133363
1081,2133352
1064,2133301
1086,2133268
1015,2133374
1078,2133371
1007,2133377
1072,2133357
1090,2133378
1045,2133379
1061,2133376
1056,2133382
1040,2133380
1012,2133386
1044,2133387
1003,2133383
1015,2133254
1007,2133313
1086,2133216
1072,2133394
1032,2133395
1070,2133391
1061,2133399
1083,2133400
1006,2133401
1047,2133388
1078,2133402
1082,2133385
1040,2133403
1012,2133405
1003,2133302
1065,2133404
1023,2133384
1045,2133409
1058,2133397
1051,2133412
1082,2133413
1073,2133313
1036,2133410
1044,2133416
1083,2133418
1071,2133414
1032,2133277
1072,2133301
1045,2133422
1047,2133415
1090,2133423
1012,2133419
1003,2133421
1065,2133420
1035,2133427
1006,2133428
1081,2133424
1044,2133429
1023,2133426
1066,2133432
1049,2133425
1083,2133434
1007,2133438
1082,2133436
1040,2133402
1064,2133352
1012,2133442
1023,2133443
1059,2133444
1071,2133424
1051,2133449
1058,2133448
1032,2133302
1083,2133451
1049,2133441
1045,2133445
1003,2133439
1023,2133221
1047,2133454
1036,2133450
1012,2133457
1086,2133313
1049,2133424
1090,2133459
1082,2133236
1083,2133462
1036,2133481
1045,2133495
1086,2133504
1082,2133509
1032,2133223
1073,2133333
1032,2133279
1023,2133303
1059,2133561
1058,2133573
1059,2133577
1065,2133592
1065,2133605
1065,2133614
1065,2133625
1065,2133629
1065,2133636
1066,2133346
1090,2133385
1090,2133413
1058,2133699
1058,2133701
1140,2133723
1153,2133737
