id,name,year
14136,Индоарийская (бенгальская) филология,2022
11111,"Индоарийская филология (хинди, санскрит)",2019
12994,"Индоарийская филология (хинди, санскрит, телугу)",2021
12100,Индонезийско-малайская филология,2020
14092,Иранская филология,2022
12101,Иранская филология,2020
12934,Исламоведение,2021
11106,Исламоведение,2019
12995,История арабских стран,2021
11179,"История арабских стран (арабский, иврит/ турецкий/ персидский языки)",2019
12102,История Вьетнама,2020
12103,История Индии и Непала,2020
12996,История Ирана и Афганистана,2021
11159,"История Ирана и Афганистана (персидский, афганский, арабский языки)",2019
12997,История Кавказа (Азербайджан),2021
14137,История Кавказа (Армения),2022
12104,История Кавказа (Грузия),2020
14093,История Китая,2022
12105,История Китая,2020
14138,История Кореи,2022
11193,"История Кореи (корейский, китайский языки)",2019
12998,История Малайзии и Индонезии,2021
12999,История Таиланда,2021
13000,История Тибета (Китай),2021
13001,История Турции,2021
13002,История Центральной Азии,2021
11294,"История Центральной Азии (персидский, турецкий, таджикский/ узбекский языки)",2019
14094,История Японии,2022
12106,История Японии,2020
12967,Китайская филология,2021
11287,Китайская филология,2019
12107,Корейская филология,2020
11044,Кхмерско-тайская филология,2019
14139,Монгольско-тибетская филология,2022
11276,"Монгольско-тибетская филология (монгольский, тибетский, китайский языки)",2019
11290,"Османистика (языки, история и культура османской Турции)",2019
12108,Тибетско-монгольская филология,2020
14095,Тюркская филология,2022
12109,Тюркская филология,2020
12110,Языки и культура Восточной Африки (суахили),2020
11088,Языки и культура Восточной Африки (эфиопистика),2019
14140,Языки и культура Западной Африки (хауса),2022
13003,Языки и культуры Западной Африки (языки манде),2021
14141,"Языки, история и культура Древнего Египта (египтология)",2022
13004,Японская филология,2021
11071,"Японская филология (японский, китайский языки)",2019
14778,"Востоковедение, африканистика",2022
13632,"Востоковедение, африканистика",2021
14341,"Китайский язык (стандартный курс, средний уровень)",2022
13603,"Китайский язык (стандартный курс, средний уровень)",2021
12505,"Китайский язык (стандартный курс, средний уровень)",2020
11591,"Китайский язык (стандартный курс, средний уровень)",2019
14351,"Китайский язык (стандартный курс, средний уровень). Этап углублённого изучения",2022
13609,"Китайский язык (стандартный курс, средний уровень). Этап углублённого изучения",2021
14349,Курсы восточных языков,2022
13607,Курсы восточных языков,2021
12772,Курсы восточных языков,2020
14348,Курсы восточных языков,2022
13606,Курсы восточных языков,2021
